@relation banana-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute class {m,p}

@data

0.7362,1.6399,p
-0.7208,1.1868,p
1.0714,0.4567,p
-1.101,0.817,p
-0.3905,1.1029,p
-0.0785,-1.1593,p
1.6108,-0.3868,p
0.3694,1.6933,p
-0.594,1.2437,p
0.3293,0.606,p
-0.2112,-0.6367,p
-0.1086,-0.8843,p
-0.1624,1.8375,p
0.4205,1.0956,p
-0.0338,1.5222,p
0.4977,-1.0235,p
1.1865,0.9973,p
0.3139,1.8405,p
0.272,0.8135,p
-1.338,0.7168,p
-0.226,-1.0938,p
0.4151,0.9865,p
-0.0874,-0.9481,p
0.5147,2.2136,p
0.479,-0.8209,p
1.0137,0.2572,p
1.1062,0.2051,p
-0.3975,-1.1012,p
-0.9344,-1.5806,p
1.9326,0.1651,p
-1.1865,0.814,p
-0.2459,-0.7389,p
-1.7285,0.8705,p
-0.1449,1.6488,p
-1.024,-1.0112,p
-0.3169,1.7656,p
-0.8111,-1.1544,p
-0.0303,2.1116,p
-2.0447,0.1308,p
-0.5294,-1.2175,p
0.1984,-1.1882,p
-0.2367,-1.3966,p
0.8634,0.7648,p
-0.9856,-1.273,p
0.661,1.6935,p
-0.2102,1.3478,p
0.512,-1.3365,p
-1.3318,0.8974,p
-1.1248,0.4939,p
0.5413,1.4063,p
0.3278,1.2849,p
1.4985,0.6366,p
-0.4023,-1.113,p
1.4084,0.319,p
-0.6761,0.7967,p
-1.5232,0.4971,p
-0.8651,1.5955,p
-0.0143,1.5452,p
1.063,0.2661,p
1.2375,0.3104,p
-0.6064,3.1943,p
0.1757,-1.1101,p
-0.0715,1.4123,p
0.7159,0.4871,p
-1.5299,0.658,p
0.9863,0.8426,p
0.365,0.6325,p
-0.1811,-1.1001,p
-0.9261,0.9157,p
-0.8742,0.922,p
0.5977,0.8555,p
1.4689,-0.5314,p
-0.5803,1.3429,p
-0.7068,-1.4295,p
-1.3093,1.2458,p
0.8225,-1.2052,p
0.9949,0.5017,p
1.8574,-0.2126,p
-1.0634,0.8173,p
-0.0454,1.7466,p
0.709,0.8716,p
-0.9556,-1.6133,p
0.314,-1.2546,p
0.8498,0.7255,p
1.2267,-0.4932,p
-0.0189,-1.2809,p
1.8752,-1.131,p
1.4878,-0.0078,p
1.0677,0.6676,p
1.5734,0.1711,p
-0.7597,-1.2572,p
-0.954,0.8483,p
0.3896,1.2654,p
1.8847,0.3246,p
0.7334,0.9262,p
-0.6305,0.9488,p
-1.2015,0.4548,p
-0.3813,-1.0835,p
-0.2655,1.708,p
-0.1562,-1.1636,p
0.816,0.7616,p
1.1433,0.607,p
-0.1666,1.069,p
-0.0701,-1.2268,p
0.9899,0.7707,p
0.1078,-1.2076,p
0.1619,-0.7914,p
-0.2689,1.3707,p
1.4726,0.5743,p
1.2988,0.5551,p
1.2967,0.7493,p
1.1553,0.5977,p
0.7851,0.173,p
0.3535,-1.1884,p
-0.3886,-1.3153,p
-0.1728,1.5942,p
-0.3701,1.4784,p
-0.7957,-1.6274,p
0.2165,-0.9613,p
-0.357,-0.9445,p
-1.695,0.6142,p
1.4854,0.3652,p
1.3317,-0.0802,p
1.407,0.9004,p
-0.4573,-0.9825,p
-1.5869,0.1385,p
0.2159,-1.1243,p
0.8199,1.835,p
-0.5059,-1.0891,p
1.0749,0.4379,p
0.7318,0.4932,p
-0.7169,1.2291,p
-0.1204,-1.2157,p
0.5574,1.38,p
-2.1093,0.1926,p
0.0071,-0.924,p
0.7637,0.4692,p
1.1502,0.7153,p
1.3062,0.9355,p
1.2008,0.2858,p
-0.8812,-1.5903,p
0.6745,0.6667,p
-1.7335,0.5622,p
0.7254,1.3888,p
-0.0184,-1.1318,p
-0.6537,-1.02,p
-0.496,1.4063,p
1.943,-0.6497,p
0.813,1.0636,p
-0.3722,-1.1075,p
1.0489,0.4441,p
-1.9335,0.9596,p
-0.7314,-0.9062,p
1.1769,0.424,p
0.07,1.703,p
1.2203,-0.0172,p
1.5015,0.5405,p
-0.5355,1.1943,p
-0.5445,-0.7734,p
-1.6232,0.4685,p
0.5951,1.0204,p
-0.8639,-1.5598,p
0.2597,-1.1745,p
1.1323,0.3303,p
-0.4609,-1.0736,p
-0.688,-1.1381,p
0.2709,-1.2846,p
-1.3393,0.8241,p
-0.0906,2.012,p
-0.6526,-0.7341,p
0.0403,-1.5055,p
0.5628,0.6605,p
1.6442,0.1743,p
0.7942,0.7623,p
0.9252,0.8953,p
-0.7799,-1.3685,p
-0.495,1.3084,p
-0.5135,-1.0719,p
0.1742,1.9235,p
-0.4052,-1.253,p
0.6366,1.2493,p
-1.0569,1.031,p
0.4092,1.7616,p
0.6702,1.1519,p
0.6392,-0.8153,p
0.1339,-0.922,p
-0.1745,-0.9455,p
1.7178,0.0291,p
0.2172,-1.2092,p
0.066,-1.2269,p
-1.494,0.738,p
0.1781,1.4909,p
1.6335,0.0545,p
1.1941,0.1898,p
-0.8655,0.7512,p
-0.8468,-0.8963,p
0.9743,0.5121,p
-1.19,-1.0273,p
0.0949,-1.5595,p
1.0375,0.779,p
-0.0063,-0.9594,p
0.2988,1.5596,p
0.5516,2.0489,p
0.1627,-1.077,p
-1.2932,0.8911,p
-0.0547,-1.0584,p
1.21,0.2275,p
-0.6387,-1.0383,p
-0.1531,-1.2233,p
1.2273,-0.0085,p
-0.3151,-1.3003,p
1.2232,0.8344,p
0.1908,-1.2942,p
0.6601,0.835,p
-0.8796,-1.2728,p
1.4538,-0.5074,p
-0.8431,-1.1423,p
0.5457,-1.1192,p
0.7811,0.4153,p
0.0088,1.4702,p
-0.314,-0.9844,p
-1.5373,0.5026,p
1.0539,1.0693,p
-1.4119,1.1088,p
-1.6431,0.7665,p
-0.4548,-1.2976,p
-1.034,1.0068,p
0.1603,-1.4048,p
-0.2311,-0.7498,p
0.4402,1.157,p
-1.5857,0.3225,p
1.9597,-0.7086,p
0.4766,0.7912,p
-0.8565,-1.3066,p
0.2072,-1.3811,p
1.0311,1.293,p
1.6498,0.0404,p
-1.8239,0.885,p
0.9223,0.9297,p
-0.3662,-0.8816,p
-0.6073,-0.8944,p
1.0237,0.44,p
-0.5385,-1.1503,p
-0.4301,-1.399,p
-1.6162,0.5935,p
1.3478,0.6767,p
-0.2673,-0.8965,p
-0.4321,-1.3422,p
1.2465,-0.1184,p
-0.5287,-1.0244,p
-0.7994,1.1116,p
0.8222,0.1918,p
1.3488,-0.4615,p
0.3502,0.8889,p
-1.6863,-0.1746,p
0.3852,-0.7443,p
0.918,0.8202,p
0.1684,-1.0627,p
-0.4994,-0.8577,p
0.2249,1.341,p
-0.9954,-0.9371,p
0.0941,1.4416,p
0.4774,-1.2366,p
-0.7042,1.4604,p
0.032,-1.5015,p
1.3016,0.1957,p
1.1319,0.4047,p
-0.8152,1.1761,p
1.5484,-0.6486,p
0.6775,0.9641,p
0.0526,1.4214,p
-1.7743,1.0148,p
-0.0567,-1.4071,p
-1.213,0.9182,p
-0.3769,-0.9727,p
-0.2391,-0.6188,p
-0.5493,1.0272,p
-0.52,-1.1657,p
-0.201,1.349,p
-0.665,1.6093,p
0.8444,1.2157,p
0.9425,0.2478,p
-0.362,-1.7031,p
-1.2055,1.0023,p
1.1629,0.6539,p
-0.2649,1.284,p
1.525,0.3557,p
1.6599,0.672,p
-0.3961,1.2092,p
0.8228,1.0383,p
-0.8279,-0.8394,p
-0.2056,-1.1531,p
1.8256,0.3486,p
1.1122,0.9887,p
1.2389,0.3417,p
-0.3884,-1.0848,p
1.3942,0.5044,p
0.812,0.7084,p
-0.0275,-1.4151,p
0.4036,-0.8681,p
0.2553,0.4125,p
0.1268,1.9394,p
0.8507,0.5976,p
-1.0398,1.1924,p
-0.2668,1.3664,p
-0.6744,0.8417,p
-0.9682,-0.9116,p
0.2063,1.1942,p
-0.3431,-1.3911,p
1.0775,0.0163,p
1.1848,1.4878,p
0.6797,0.7024,p
-1.1538,0.5874,p
-0.5223,-1.3387,p
0.0236,-1.0671,p
0.3223,-1.0373,p
0.8052,0.4197,p
-0.8972,-1.0427,p
0.8766,0.1606,p
-0.046,1.5079,p
-0.6784,1.6024,p
-0.463,-1.1982,p
1.2621,1.7237,p
1.1675,1.3663,p
-0.4684,-1.1696,p
-0.3757,-0.9748,p
-0.9298,-0.8949,p
0.7072,0.9477,p
0.2351,-1.0642,p
-0.715,-0.969,p
1.2654,-0.6846,p
-0.6749,1.1809,p
0.1634,-1.1294,p
-0.2917,-1.3213,p
1.3787,0.1313,p
-1.6012,0.6822,p
0.8881,0.8168,p
-0.8031,-1.2104,p
1.7449,-0.1426,p
0.3411,-1.4284,p
-0.7913,-1.4287,p
1.1405,0.4935,p
-0.9513,1.3902,p
0.8669,0.8099,p
0.8317,1.3276,p
-1.1233,0.6992,p
0.309,-1.0331,p
0.431,-1.4596,p
0.5047,1.4472,p
0.0394,-1.3511,p
0.2989,-0.8195,p
0.0036,1.8737,p
-1.4641,1.1124,p
-0.3349,-1.6868,p
0.9941,0.0734,p
-0.1344,-1.0963,p
-0.7561,-0.9434,p
0.017,-1.2582,p
-0.7338,1.251,p
1.1723,0.8682,p
1.2903,-0.4986,p
-0.4959,-1.0906,p
0.3946,0.0856,p
-0.652,-1.5437,p
1.6844,-0.4724,p
-2.7678,0.0962,p
-0.391,1.0289,p
-0.7337,0.8815,p
1.7014,0.1571,p
0.1554,1.8766,p
0.4799,-1.1025,p
-1.0219,-1.1802,p
-0.3285,-0.858,p
1.9154,0.0429,p
-0.4873,-1.1942,p
-1.5301,0.5005,p
-1.4026,0.9795,p
0.4492,0.6477,p
-0.3801,-1.3387,p
0.484,1.0357,p
0.4942,1.1751,p
0.6586,0.913,p
1.5441,-0.7494,p
-0.7242,-1.4823,p
0.9728,0.6533,p
1.6025,0.0487,p
-0.995,-1.3899,p
-0.0782,-1.0955,p
-1.9478,0.6142,p
0.8264,0.7442,p
1.1764,0.5065,p
-0.4434,1.8565,p
1.1444,-0.0771,p
0.5836,0.6786,p
-0.7507,-1.3706,p
1.4503,0.2288,p
1.0869,0.299,p
-0.5617,-1.116,p
0.8559,0.6688,p
-0.0172,-1.0336,p
-0.369,-1.1416,p
-0.2027,1.2589,p
-0.4513,1.6999,p
-1.1951,0.6589,p
-0.5197,1.355,p
-0.2794,-1.062,p
-0.9044,0.9529,p
0.9872,0.8581,p
-0.5674,-1.1443,p
-0.0476,-1.2362,p
0.6171,1.1061,p
-0.5363,1.1285,p
1.7504,-1.0318,p
-0.678,-1.3248,p
0.2527,-1.3047,p
1.3898,0.1554,p
-0.495,-1.1996,p
-0.8504,-0.92,p
-1.0363,0.6213,p
0.5195,1.255,p
0.8453,0.7664,p
-0.0305,-1.094,p
0.1571,0.9561,p
-0.4781,-0.7965,p
-0.5236,-1.0869,p
1.165,0.446,p
-0.6381,-0.7516,p
0.8308,1.3474,p
-0.2388,-1.4153,p
-0.5605,-1.406,p
0.3999,-1.3936,p
-0.5013,1.095,p
0.8507,1.4647,p
1.3537,-0.5183,p
0.1189,-1.2797,p
0.0598,-1.2624,p
0.7841,0.9723,p
-1.1905,-0.9393,p
-1.5943,0.9132,p
0.0125,-0.6646,p
1.4025,0.8549,p
0.5069,1.0166,p
-0.8787,-0.9754,p
-0.4906,1.2245,p
-1.0139,-1.3613,p
-0.2749,-1.6035,p
-0.6358,1.721,p
1.552,-0.0055,p
-0.7788,1.0888,p
1.1397,0.3761,p
1.256,0.7988,p
0.4152,1.7976,p
-0.7911,-1.4429,p
1.3616,0.2576,p
1.7183,-0.793,p
0.4323,0.7492,p
-0.5903,-1.0414,p
-0.0026,-1.0179,p
1.2094,1.2811,p
0.3932,1.6378,p
-1.5294,0.3901,p
-1.1725,0.5857,p
-0.3152,-1.0943,p
0.0544,-1.5909,p
1.1938,0.2891,p
1.2202,-0.1056,p
-0.4706,-0.9188,p
0.5397,-1.2611,p
0.4977,0.5672,p
-0.8072,1.1165,p
0.4036,-1.099,p
-0.2602,-1.2337,p
-0.2176,-1.6299,p
-0.4209,-0.7306,p
-1.4262,1.2617,p
-1.4751,0.7397,p
-0.7998,1.6569,p
0.1254,2.1597,p
-0.9356,-1.5002,p
1.3467,0.2291,p
0.2263,-1.3846,p
0.9606,0.4543,p
-0.1062,-0.933,p
0.3077,-1.3379,p
-0.3467,-1.1279,p
-0.8588,0.8853,p
0.6979,1.0197,p
0.745,0.3659,p
-1.3739,0.6483,p
1.1366,0.148,p
0.2732,1.6752,p
0.3509,-0.9644,p
-0.8759,0.9204,p
1.2438,0.6081,p
-0.8378,-1.1661,p
-0.8674,1.0875,p
-0.421,-1.0888,p
0.9803,0.7659,p
0.7009,0.5642,p
-1.2131,0.7777,p
-0.5985,-1.3769,p
-0.195,1.3093,p
0.3013,-0.928,p
-1.2445,1.1372,p
-0.4585,-1.1122,p
0.969,0.9212,p
-1.2961,0.8668,p
-0.433,-1.127,p
-0.7912,-1.255,p
-0.861,-0.8622,p
0.8689,0.5758,p
-1.3932,0.862,p
-0.6604,1.4088,p
-1.0762,0.7204,p
1.0939,1.0263,p
0.0852,-0.8523,p
-1.1693,1.0813,p
-0.3694,-0.9838,p
1.2717,0.4955,p
1.086,0.1548,p
0.4084,1.1562,p
0.5197,1.2095,p
0.2076,-1.2118,p
0.3344,1.044,p
-0.1237,-1.2682,p
0.3803,-1.3477,p
0.8223,0.501,p
-0.1389,-1.2626,p
-0.2197,-1.3812,p
-0.1002,-1.0525,p
0.9297,0.6497,p
-1.5753,0.2724,p
-1.246,0.857,p
1.3472,0.4719,p
-0.8399,-1.1627,p
-1.4247,0.8298,p
1.0154,0.5082,p
-0.1801,-0.6395,p
1.2264,0.3539,p
-0.3694,-0.965,p
-0.6335,1.646,p
-1.5289,0.6789,p
0.8927,0.6912,p
-2.1253,0.678,p
1.3878,0.0609,p
0.6849,2.1968,p
0.6395,1.1967,p
0.2652,1.4027,p
-0.8351,-1.0602,p
-0.1175,-1.258,p
2.1412,-0.4534,p
0.0524,-0.8527,p
1.7113,-0.4241,p
-0.218,2.09,p
0.3028,-1.3539,p
-0.0237,-1.0015,p
0.1434,1.0526,p
0.1793,1.8668,p
-1.7042,-0.087,p
-0.2983,-1.2554,p
-0.2303,-1.0154,p
0.3862,1.5493,p
0.247,-1.2755,p
0.0085,1.3095,p
0.4272,1.9907,p
0.582,0.2321,p
1.0038,-0.0347,p
-0.5112,1.4964,p
0.6507,-1.0814,p
-0.2304,1.0815,p
0.5469,1.1495,p
-2.1887,0.0991,p
-0.946,1.0165,p
0.9737,0.898,p
0.5143,1.5243,p
0.5455,1.2781,p
0.1399,-0.8,p
-0.9797,-1.4864,p
-0.2561,1.5228,p
-0.509,-0.8244,p
-1.6618,0.7496,p
-0.6646,1.2276,p
-0.6386,1.2536,p
-1.589,0.7629,p
0.0131,-0.9685,p
1.8754,-0.2895,p
-1.63,0.1011,p
0.4104,1.0124,p
0.4238,0.4711,p
0.7253,1.3254,p
-1.9946,0.5491,p
-0.3963,-1.4513,p
-1.2071,0.4876,p
-0.5108,1.5305,p
-0.6053,-1.5185,p
0.6042,0.555,p
1.8068,-0.5507,p
0.7509,0.6081,p
0.0965,-1.1019,p
-0.8201,-1.0448,p
-0.2032,-1.0771,p
-0.1706,-1.0889,p
1.6764,0.1127,p
0.359,1.5155,p
-1.8745,0.3732,p
1.1794,0.585,p
0.2017,-1.1731,p
-1.9613,0.4452,p
0.7132,0.9482,p
1.1794,0.9127,p
0.9215,0.3,p
1.4573,-0.1395,p
1.5919,-0.5223,p
-0.8856,-1.2681,p
0.6369,0.9842,p
-0.4457,-1.5291,p
0.4426,1.5433,p
-0.4434,1.0203,p
1.7173,-0.4708,p
1.5026,-0.3796,p
0.9043,1.1523,p
-1.1986,-1.4003,p
-0.6209,1.1645,p
-0.8072,0.9918,p
0.6238,1.1013,p
0.5525,1.043,p
-0.6416,-1.3495,p
-0.4454,-1.2366,p
0.0604,1.6438,p
0.2299,-1.1507,p
1.8942,-0.2426,p
0.9334,1.2085,p
-0.4867,-0.7974,p
0.3006,2.0132,p
-0.2141,1.5794,p
-0.7401,-1.5252,p
0.0991,-1.0503,p
-0.6771,-1.4067,p
0.4857,1.052,p
1.0528,-0.2297,p
1.1349,0.4288,p
0.2835,1.8607,p
1.3247,0.3765,p
0.6242,-1.3072,p
-1.7498,0.3177,p
0.914,0.2597,p
-0.565,-0.8527,p
0.164,-1.1783,p
-1.5491,0.3856,p
-0.8513,0.6813,p
-0.1037,-1.0946,p
1.2167,0.2466,p
-1.5283,0.7953,p
0.7239,0.4169,p
0.4457,-1.0716,p
0.5214,-1.042,p
0.1985,-0.8605,p
-1.821,0.4739,p
1.669,0.0877,p
0.6764,0.8916,p
-0.4839,-1.1991,p
1.375,0.8773,p
-0.6067,-1.5974,p
-0.4503,-1.5894,p
0.7447,0.6813,p
1.872,-0.2386,p
-0.157,1.8431,p
1.0764,0.6833,p
0.6404,1.3521,p
-0.1366,1.4359,p
1.052,0.6512,p
-0.5832,-1.3474,p
1.0082,0.8292,p
-1.1385,1.0817,p
-0.5929,1.2795,p
-0.1893,-1.2367,p
0.0698,-1.2545,p
1.1144,0.3748,p
0.8462,1.8684,p
-0.7392,1.3245,p
-2.0291,0.3591,p
0.3076,-0.9128,p
1.4231,0.3738,p
-0.9276,1.5491,p
1.3184,0.0928,p
-0.3748,1.3646,p
-1.4816,0.9436,p
1.8983,-0.0565,p
0.0045,1.4675,p
-0.4673,-1.5106,p
-1.69,0.7062,p
-0.3466,-1.1507,p
-0.7125,-1.0982,p
0.6783,0.9609,p
0.6664,-1.5209,p
-0.5078,-1.6992,p
-0.4672,-0.9446,p
-0.8334,-0.569,p
-0.0337,-1.3643,p
1.3337,-0.704,p
0.9976,0.3702,p
0.6896,0.7454,p
0.0927,-1.015,p
0.8347,-0.0137,p
0.7627,0.9208,p
-0.8822,-0.7262,p
0.3291,1.113,p
-0.037,-1.3518,p
1.0165,0.0541,p
0.4629,0.498,p
-0.6343,-1.1454,p
-0.4151,-1.2959,p
-0.9355,1.0169,p
1.1693,0.5105,p
1.314,0.1178,p
0.3036,1.6073,p
0.9728,0.4565,p
0.1793,1.8142,p
-0.9988,0.9058,p
0.6471,0.3167,p
0.1251,-1.2398,p
-0.8995,0.8583,p
0.6767,1.0287,p
-1.0223,-1.2858,p
1.0838,0.088,p
-1.097,-1.1672,p
-1.3377,0.5399,p
0.3143,1.5399,p
-0.2618,1.2813,p
-0.2353,-1.2163,p
1.5257,0.0838,p
0.1964,1.7597,p
0.4033,-0.9971,p
0.1749,-0.8872,p
1.7476,0.016,p
-0.2697,-1.2835,p
-1.2509,-1.474,p
-0.0765,-1.1186,p
0.4645,0.8419,p
0.2196,2.0809,p
1.3865,-0.013,p
1.4456,0.2726,p
-0.108,-1.302,p
-0.7662,1.0601,p
0.9737,0.8774,p
1.2857,-0.1205,p
-0.6723,-0.6011,p
-0.3035,1.4964,p
-0.4747,-1.0185,p
-0.8171,-0.7826,p
-0.655,-1.4398,p
-1.3152,0.9948,p
0.2833,-1.5593,p
0.0291,-1.1171,p
-0.2982,-1.162,p
-0.5466,-1.3145,p
0.1304,1.3827,p
-0.0819,1.6361,p
-0.0957,-1.055,p
0.8047,1.2121,p
-0.6425,1.6846,p
-0.0656,1.2423,p
0.3061,-1.1349,p
-0.0677,1.7359,p
-2.0407,0.4012,p
-0.4511,1.7167,p
0.3208,1.5842,p
-0.5271,0.8867,p
-0.7487,1.2553,p
-0.4963,1.0288,p
0.2288,1.628,p
0.0966,-1.0642,p
-0.0545,-1.4521,p
-0.5925,-1.5764,p
0.0967,-1.4047,p
0.4465,-1.1792,p
1.2979,1.0411,p
1.0029,-0.0897,p
-0.7835,-1.0457,p
1.6326,0.4755,p
0.1262,-0.8648,p
1.1804,0.0819,p
0.6754,0.886,p
0.9332,0.7112,p
0.3641,-0.858,p
0.1775,-1.3731,p
-1.7047,0.4224,p
1.1745,1.2758,p
0.7071,1.3724,p
-0.8035,-0.7822,p
-1.0211,-1.185,p
-0.9836,1.0268,p
-0.1347,-1.125,p
0.1685,1.7039,p
0.8542,1.1491,p
-2.9808,-0.1596,p
-0.397,1.3151,p
0.9762,1.2358,p
1.954,-1.0242,p
0.9407,1.16,p
-0.702,-0.8114,p
-0.0461,1.6486,p
0.016,-1.1322,p
