@relation clouds-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute class {u,m}

@data

2.021619,0.880339,u
2.215912,0.199754,u
-0.110629,1.816938,u
1.987626,1.491874,u
1.913466,3.685276,u
0.010653,-0.170197,u
1.672083,1.595333,u
1.890604,3.350177,u
-0.049086,2.208404,u
1.623993,1.868619,u
1.885679,1.33791,u
-0.093653,1.839078,u
-0.017502,1.960436,u
2.036468,0.909525,u
-0.126583,1.864336,u
-0.102787,-0.085163,u
1.932814,2.524158,u
2.208923,0.008341,u
2.155016,0.200696,u
-0.219154,-0.166332,u
-0.249383,1.972991,u
-0.218692,-0.201516,u
1.885193,1.904391,u
2.061608,1.077545,u
2.114273,1.950363,u
-0.055778,0.063376,u
0.163457,-0.08938,u
-0.165623,-0.048269,u
-0.185978,2.033235,u
2.244844,-0.175535,u
2.284444,2.136596,u
1.959377,0.567974,u
2.122301,1.441922,u
1.521674,1.17715,u
2.041486,1.126567,u
-0.050713,-0.078592,u
0.189942,0.000231,u
2.112727,0.134319,u
1.952967,2.248965,u
1.833028,2.315941,u
-0.23171,1.999551,u
-0.14168,1.894773,u
0.142337,1.871815,u
2.014015,0.981546,u
0.073903,2.127486,u
2.280172,2.045877,u
2.138309,1.976204,u
0.008648,0.072386,u
2.115956,1.116148,u
2.082278,-0.44264,u
0.113798,-0.144817,u
-0.301461,-0.012535,u
-0.118926,1.686281,u
2.199324,0.589951,u
2.01934,1.245146,u
-0.124981,0.194922,u
0.175921,-0.364146,u
-0.21395,1.994418,u
0.013089,2.280186,u
-0.113133,1.972457,u
1.813969,0.16187,u
1.803651,0.913539,u
0.085872,2.099125,u
2.257551,1.675502,u
-0.000957,-0.185945,u
2.005645,1.05795,u
-0.179321,0.099869,u
-0.059753,2.307292,u
-0.009041,0.152707,u
0.029951,-0.130692,u
1.742593,0.46971,u
-0.207958,2.3577,u
0.192704,0.1052,u
2.348653,1.307714,u
2.207616,1.598013,u
-0.03132,1.958011,u
0.144579,0.01116,u
1.768319,-0.181098,u
1.769337,1.388808,u
1.816353,3.037224,u
2.274405,1.008119,u
2.39446,-0.240629,u
1.947017,1.423837,u
2.208868,1.835928,u
2.376187,1.982922,u
-0.143803,1.942022,u
0.107329,0.079242,u
-0.166744,0.130688,u
0.155111,0.421982,u
0.183076,-0.231679,u
-0.024224,0.161016,u
0.145519,2.178821,u
1.773924,-0.126063,u
2.021681,1.302628,u
2.579283,1.906845,u
2.127734,1.351852,u
0.062233,-0.175253,u
1.744029,0.559943,u
2.254021,0.924863,u
1.843163,1.052259,u
0.088641,2.149523,u
0.224867,2.115767,u
-0.034697,-0.149271,u
2.109943,0.253188,u
0.374318,-0.254539,u
1.844119,1.110072,u
-0.227466,1.836173,u
-0.234422,1.992285,u
1.867347,0.769739,u
2.142819,2.095475,u
-0.075191,0.112984,u
1.994863,2.482411,u
-0.13266,0.260048,u
1.972408,0.285294,u
2.189812,-0.113993,u
-0.382594,1.976056,u
2.102731,0.848513,u
0.192334,2.097073,u
1.586889,-0.069026,u
1.726791,1.736996,u
2.334023,-1.321368,u
-0.034161,0.016496,u
0.008272,0.171947,u
2.011207,0.20675,u
1.93937,0.836515,u
1.848565,0.149304,u
0.297024,0.285247,u
0.216148,1.766325,u
1.61471,0.866629,u
2.311874,2.200529,u
2.060528,0.622644,u
1.976974,1.722216,u
1.967501,0.565304,u
-0.10266,1.874358,u
1.960422,2.90698,u
-0.10047,1.52394,u
-0.004281,-0.013552,u
