@relation concentric-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute class {m,u}

@data

0.451555,0.045974,m
0.189787,0.626299,m
0.083149,0.581399,m
0.696907,0.777631,m
0.406739,0.030384,m
0.191659,0.118743,m
0.474472,0.114552,m
0.599691,0.199802,m
0.840518,0.78777,m
0.869217,0.710967,m
0.052328,0.470546,m
0.787019,0.343856,m
0.620006,0.017168,m
0.377966,0.050696,m
0.110724,0.355302,m
0.589522,0.149298,m
0.500046,0.936301,m
0.151486,0.525844,m
0.586839,0.032492,m
0.353626,0.220191,m
0.212148,0.885338,m
0.421298,0.987417,m
0.05826,0.304488,m
0.791941,0.410159,m
0.101286,0.555821,m
0.801947,0.721815,m
0.230287,0.173397,m
0.658361,0.887334,m
0.20602,0.643351,m
0.811525,0.187305,m
0.783016,0.290218,m
0.090668,0.543889,m
0.929257,0.635584,m
0.255345,0.282034,m
0.806124,0.804035,m
0.156664,0.784568,m
0.639335,0.185425,m
0.812027,0.62694,m
0.550834,0.813613,m
0.601145,0.09513,m
0.061272,0.419094,m
0.354538,0.823426,m
0.271956,0.697988,m
0.451993,0.106371,m
0.152383,0.269341,m
0.823726,0.623612,m
0.374204,0.922135,m
0.369972,0.903281,m
0.940164,0.466251,m
0.767413,0.093572,m
0.232476,0.782429,m
0.913497,0.27377,m
0.834359,0.238373,m
0.307574,0.201629,m
0.093127,0.323527,m
0.228509,0.322096,m
0.804065,0.368272,m
0.192271,0.819471,m
0.609156,0.04799,m
0.81172,0.877892,m
0.077295,0.249394,m
0.138306,0.657102,m
0.87443,0.537381,m
0.160238,0.572314,m
0.240706,0.285048,m
0.260172,0.824562,m
0.590513,0.978325,m
0.857656,0.538124,m
0.253633,0.800281,m
0.163317,0.311851,m
0.788963,0.681967,m
0.902081,0.235692,m
0.279104,0.933423,m
0.89121,0.525804,m
0.170285,0.485725,m
0.255576,0.169944,m
0.194877,0.300098,m
0.481828,0.180595,m
0.635442,0.889049,m
0.428345,0.128232,m
0.897527,0.678632,m
0.791743,0.180211,m
0.604784,0.835841,m
0.198603,0.773011,m
0.71026,0.799043,m
0.926223,0.610264,m
0.329331,0.860435,m
0.978885,0.512838,m
0.505533,0.996812,m
0.272313,0.203649,m
0.706454,0.126818,m
0.798375,0.884156,m
0.244592,0.858865,m
0.220687,0.910568,m
0.699266,0.82105,m
0.079743,0.407454,m
0.969761,0.426666,m
0.862569,0.411665,m
0.850869,0.336806,m
0.901121,0.249333,m
0.207253,0.177281,m
0.759637,0.251795,m
0.099084,0.251108,m
0.333243,0.970428,m
0.921587,0.359201,m
0.199922,0.17038,m
0.750226,0.727243,m
0.070213,0.323478,m
0.838549,0.302624,m
0.109145,0.479831,m
0.075297,0.683747,m
0.655999,0.08572,m
0.809707,0.381701,m
0.598722,0.126278,m
0.238512,0.841597,m
0.921591,0.237799,m
0.253985,0.764279,m
0.230765,0.143681,m
0.442507,0.203161,m
0.451027,0.845463,m
0.780349,0.092496,m
0.135399,0.483141,m
0.260587,0.854423,m
0.284421,0.809456,m
0.445312,0.203844,m
0.272427,0.753157,m
0.824042,0.690158,m
0.028257,0.663919,m
0.52986,0.114147,m
0.256897,0.933949,m
0.145948,0.320067,m
0.369668,0.85458,m
0.168215,0.369084,m
0.142577,0.703295,m
0.189958,0.474879,m
0.202745,0.339311,m
0.668129,0.956077,m
0.66309,0.759575,m
