@relation phoneme-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute class {p,m}

@data

0.481234,0.644635,0.293958,0.400207,0.293906,p
0.517573,0.478799,0.303031,0.324292,0.29349,p
0.385136,0.738342,0.563626,0.461144,0.320799,p
0.309163,0.319668,0.428459,0.477422,0.586342,p
0.882719,0.364615,0.334501,0.338092,0.307633,p
0.791902,0.315771,0.570585,0.305716,0.296024,p
0.403432,0.596215,0.279551,0.317738,0.294811,p
0.359933,0.451746,0.684104,0.516205,0.207218,p
0.48028,0.482032,0.285863,0.330789,0.343215,p
0.472007,0.518524,0.463499,0.435853,0.25522,p
0.543037,0.609538,0.250288,0.317386,0.294009,p
0.326046,0.59941,0.571989,0.253976,0.320799,p
0.501878,0.709941,0.546248,0.430976,0.28626,p
0.423704,0.680754,0.230086,0.308506,0.358387,p
0.807731,0.286903,0.332294,0.319987,0.288399,p
0.355537,0.672712,0.288705,0.411726,0.235579,p
0.651001,0.356583,0.340803,0.343448,0.336495,p
0.348421,0.463222,0.971761,0.169541,0.210871,p
0.808192,0.300124,0.611501,0.290527,0.291223,p
0.275373,0.167428,0.279012,0.557936,0.783806,p
0.503993,0.456444,0.837919,0.244176,0.272846,p
0.359543,0.38254,0.867222,0.214394,0.184456,p
0.511616,0.637692,0.295919,0.324249,0.37102,p
0.785187,0.188106,0.339904,0.377031,0.337872,p
0.385685,0.676381,0.577889,0.477776,0.272539,p
0.350191,0.459106,0.56672,0.462075,0.271023,p
0.340848,0.444612,0.870026,0.183645,0.226661,p
0.382207,0.587247,0.650594,0.505937,0.320799,p
0.661533,0.513853,0.571079,0.29252,0.287356,p
0.716992,0.411331,0.333649,0.384473,0.340823,p
0.403434,0.584999,0.683917,0.269133,0.320799,p
0.335898,0.704456,0.243561,0.500262,0.645163,p
0.274523,0.328673,0.64115,0.358756,0.320799,p
0.692522,0.3855,0.463144,0.633828,0.227141,p
0.346668,0.382414,0.790427,0.20925,0.241833,p
0.314884,0.341476,0.648308,0.82432,0.320799,p
0.659565,0.454651,0.449303,0.468632,0.511544,p
0.889828,0.176676,0.444147,0.450586,0.293111,p
0.37803,0.618716,0.28725,0.323409,0.298786,p
0.784002,0.189274,0.342283,0.344661,0.309221,p
0.402084,0.780796,0.251322,0.296561,0.222723,p
0.362412,0.44175,0.730848,0.586839,0.320799,p
0.819856,0.334931,0.407468,0.432684,0.29881,p
0.818077,0.303103,0.613102,0.291041,0.292128,p
0.451989,0.641736,0.26764,0.319147,0.293546,p
0.410396,0.482065,0.292178,0.320419,0.256677,p
0.471224,0.652632,0.262677,0.676175,0.226901,p
0.338477,0.485397,0.498513,0.428161,0.349601,p
0.43304,0.669583,0.525369,0.427101,0.280989,p
0.34154,0.422851,0.900555,0.187849,0.219658,p
0.327893,0.543292,0.496796,0.434998,0.320799,p
0.319504,0.312133,0.572628,0.83285,0.143437,p
0.445436,0.75125,0.279005,0.317099,0.289771,p
0.339906,0.596055,0.487685,0.429767,0.320799,p
0.832368,0.347609,0.399038,0.385296,0.303972,p
0.389224,0.46779,0.744962,0.247825,0.269223,p
0.632561,0.492507,0.299346,0.409159,0.295617,p
0.375354,0.621614,0.776379,0.239897,0.259075,p
0.363741,0.583116,0.296799,0.319333,0.299176,p
0.433229,0.548117,0.305276,0.407893,0.244891,p
0.364691,0.495493,0.281816,0.32402,0.295012,p
