@relation yeast-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute class {A,E,C,B,F,I,J,G,D,H}

@data

0.58,0.55,0.52,0.22,0.5,0,0.44,0.22,C
0.47,0.46,0.59,0.49,0.5,0,0.56,0.22,C
0.5,0.62,0.52,0.3,0.5,0,0.56,0.22,C
0.44,0.44,0.67,0.35,0.5,0,0.48,0.26,C
0.45,0.59,0.53,0.74,0.5,0,0.47,0.25,C
0.48,0.52,0.49,0.35,0.5,0.5,0.51,0.22,C
0.38,0.68,0.44,0.45,0.5,0,0.53,0.22,C
0.58,0.67,0.49,0.16,0.5,0,0.47,0.28,C
0.43,0.57,0.51,0.49,0.5,0,0.48,0.22,C
0.5,0.54,0.53,0.54,0.5,0,0.51,0.27,C
0.49,0.44,0.45,0.55,0.5,0,0.48,0.22,C
0.42,0.57,0.72,0.22,0.5,0,0.57,0.22,C
0.63,0.47,0.56,0.12,0.5,0,0.5,0.22,C
0.45,0.48,0.63,0.67,0.5,0,0.48,0.22,C
0.47,0.41,0.53,0.27,0.5,0,0.47,0.25,C
0.51,0.52,0.48,0.5,0.5,0,0.51,0.22,C
0.5,0.56,0.49,0.61,0.5,0,0.5,0.22,C
0.46,0.44,0.53,0.31,0.5,0,0.48,0.22,C
0.48,0.47,0.54,0.55,0.5,0,0.51,0.65,C
0.61,0.59,0.47,0.49,0.5,0,0.54,0.22,C
0.55,0.59,0.47,0.64,0.5,0,0.54,0.33,C
0.5,0.58,0.46,0.46,0.5,0,0.46,0.22,C
0.51,0.51,0.43,0.87,0.5,0,0.52,0.22,C
0.45,0.58,0.59,0.44,0.5,0,0.56,0.22,C
0.47,0.58,0.47,0.52,0.5,0,0.54,0.22,C
0.67,0.68,0.46,0.29,0.5,0,0.46,0.22,C
0.6,0.51,0.52,0.45,0.5,0,0.5,0.27,C
0.61,0.72,0.39,0.33,0.5,0,0.58,0.22,C
0.6,0.59,0.45,0.23,0.5,0,0.55,0.22,C
0.48,0.45,0.55,0.5,0.5,0,0.53,0.22,C
0.53,0.61,0.51,0.49,0.5,0,0.54,0.27,C
0.39,1,0.38,0.41,0.5,0,0.5,0.27,C
0.55,0.38,0.64,0.42,0.5,0,0.47,0.22,C
0.35,0.49,0.47,0.22,0.5,0,0.5,0.28,C
0.46,0.38,0.47,0.22,0.5,0,0.52,0.27,C
0.41,0.52,0.53,0.41,0.5,0,0.39,0.33,C
0.51,0.39,0.56,0.55,0.5,0,0.46,0.64,C
0.52,0.5,0.59,0.31,0.5,0,0.5,0.22,C
0.51,0.48,0.51,0.43,0.5,0,0.49,0.22,C
0.47,0.63,0.66,0.45,0.5,0,0.37,0.11,C
0.5,0.52,0.6,0.51,0.5,0,0.48,0.22,C
0.32,0.47,0.55,0.25,0.5,0,0.49,0.22,C
0.59,0.61,0.34,0.22,0.5,0,0.51,0.22,C
0.53,0.42,0.58,0.29,0.5,0,0.5,0.22,C
0.41,0.54,0.58,0.2,0.5,0,0.52,0.22,C
0.57,0.61,0.55,0.67,0.5,0,0.48,0.22,C
0.58,0.53,0.5,0.53,0.5,0,0.47,0.31,C
0.5,0.61,0.44,0.2,0.5,0,0.49,0.22,C
0.45,0.55,0.54,0.66,0.5,0,0.47,0.22,C
0.67,0.62,0.54,0.43,0.5,0,0.53,0.22,C
0.51,0.51,0.52,0.51,0.5,0,0.54,0.22,C
0.55,0.45,0.45,0.54,0.5,0,0.5,0.22,C
0.51,0.5,0.49,0.45,0.5,0,0.48,0.22,C
0.6,0.54,0.54,0.53,0.5,0,0.52,0.27,C
0.63,0.53,0.54,0.4,0.5,0,0.5,0.22,C
0.52,0.64,0.34,0.16,0.5,0,0.57,0.22,C
0.55,0.53,0.56,0.29,0.5,0,0.48,0.22,C
0.53,0.44,0.51,0.33,0.5,0,0.52,0.22,C
0.27,0.39,0.66,0.11,0.5,0,0.44,0.22,C
0.58,0.58,0.58,0.49,0.5,0,0.49,0.26,C
0.59,0.67,0.56,0.41,0.5,0,0.47,0.22,C
0.45,0.58,0.48,0.67,0.5,0,0.52,0.22,C
0.75,0.66,0.64,0.39,0.5,0,0.46,0.32,C
0.45,0.43,0.5,0.25,0.5,0,0.47,0.22,C
0.38,0.54,0.54,0.41,0.5,0,0.51,0.22,C
0.59,0.61,0.51,0.62,0.5,0,0.51,0.38,C
0.63,0.6,0.5,0.27,0.5,0,0.55,0.22,C
0.5,0.32,0.49,0.49,0.5,0,0.48,0.32,C
0.54,0.52,0.63,0.37,0.5,0,0.46,0.22,C
0.51,0.59,0.46,0.13,0.5,0,0.48,0.22,C
0.63,0.57,0.5,0.48,0.5,0,0.51,0.22,C
0.5,0.57,0.62,0.25,0.5,0,0.51,0.22,C
0.47,0.47,0.57,0.48,0.5,0,0.48,0.22,C
0.46,0.61,0.55,0.29,0.5,0,0.49,0.22,C
0.45,0.53,0.47,0.43,0.5,0,0.5,0.27,C
0.41,0.47,0.58,0.62,0.5,0,0.5,0.22,C
0.53,0.53,0.6,0.13,0.5,0,0.49,0.22,C
0.63,0.56,0.45,0.58,0.5,0,0.51,0.22,C
0.45,0.54,0.54,0.62,0.5,0,0.53,0.22,C
0.43,0.67,0.48,0.27,0.5,0,0.53,0.22,C
0.35,0.52,0.48,0.22,0.5,0,0.26,0.22,C
0.86,0.92,0.5,0.37,1,0,0.53,0.32,D
0.7,0.84,0.49,0.28,1,0,0.58,0.22,D
0.58,0.5,0.5,0.12,0.5,0,0.48,0.25,B
0.38,0.44,0.55,0.44,0.5,0,0.47,0.51,B
0.61,0.39,0.53,0.14,0.5,0,0.43,0.26,B
0.42,0.51,0.5,0.12,0.5,0,0.52,0.46,B
0.34,0.48,0.47,0.19,0.5,0,0.5,0.3,B
0.37,0.43,0.62,0.27,0.5,0,0.48,0.22,B
0.43,0.39,0.54,0.14,0.5,0,0.47,0.22,B
0.55,0.4,0.62,0.22,0.5,0,0.37,0.28,B
0.6,0.62,0.54,0.11,0.5,0,0.51,0.22,B
0.7,0.53,0.42,0.22,0.5,0,0.51,0.28,B
0.68,0.39,0.5,0.15,0.5,0,0.48,0.37,B
0.39,0.42,0.49,0.1,0.5,0,0.49,0.65,B
0.55,0.65,0.5,0.28,0.5,0,0.55,0.22,B
0.41,0.39,0.44,0.34,0.5,0,0.48,0.4,B
0.54,0.53,0.48,0.14,0.5,0,0.49,0.33,B
0.26,0.36,0.47,0.34,0.5,0,0.53,0.72,B
0.47,0.32,0.51,0.24,0.5,0,0.54,0.27,B
0.64,0.52,0.5,0.26,0.5,0,0.51,0.31,B
0.44,0.42,0.57,0.22,0.5,0,0.5,0.25,B
0.52,0.49,0.57,0.57,0.5,0,0.51,0.22,B
0.54,0.59,0.57,0.34,0.5,0,0.49,0.22,B
0.52,0.46,0.56,0.25,0.5,0,0.52,0.22,B
0.44,0.53,0.52,0.37,0.5,0,0.5,0.22,B
0.44,0.53,0.43,0.17,0.5,0,0.54,0.75,B
0.49,0.37,0.59,0.17,0.5,0,0.51,0.22,B
0.23,0.34,0.41,0.28,0.5,0,0.5,0.27,B
0.33,0.43,0.64,0.16,0.5,0,0.52,0.52,B
0.31,0.5,0.54,0.32,0.5,0,0.53,0.31,B
0.53,0.51,0.54,0.21,0.5,0,0.45,0.22,B
0.43,0.83,0.55,0.2,0.5,0,0.47,0.4,B
0.38,0.37,0.56,0.21,0.5,0,0.49,0.22,B
0.56,0.54,0.59,0.14,0.5,0,0.52,0.27,B
0.43,0.39,0.51,0.28,0.5,0,0.4,0.22,B
0.45,0.41,0.53,0.49,0.5,0,0.49,0.31,B
0.55,0.45,0.58,0.25,0.5,0,0.49,0.22,B
0.51,0.39,0.56,0.25,0.5,0,0.51,0.33,B
0.42,0.31,0.5,0.15,0.5,0,0.53,0.22,B
0.48,0.23,0.57,0.27,0.5,0,0.48,0.47,B
0.38,0.4,0.39,0.19,0.5,0,0.46,0.62,B
0.34,0.58,0.5,0.26,0.5,0,0.51,0.22,B
0.58,0.51,0.63,0.2,0.5,0,0.5,0.42,B
0.46,0.49,0.55,0.18,0.5,0,0.56,0.22,B
0.37,0.46,0.4,0.27,0.5,0,0.45,0.22,B
0.25,0.33,0.48,0.18,0.5,0,0.42,0.33,B
0.36,0.49,0.55,0.21,0.5,0,0.55,0.33,B
0.45,0.65,0.51,0.17,0.5,0,0.49,0.22,B
0.53,0.25,0.59,0.27,0.5,0,0.45,0.26,B
0.36,0.32,0.55,0.27,0.5,0,0.47,0.43,B
0.48,0.54,0.53,0.6,0.5,0,0.53,0.31,B
0.36,0.52,0.61,0.33,0.5,0,0.52,0.37,B
0.19,0.16,0.68,0.36,0.5,0,0.49,0.21,B
0.37,0.34,0.58,0.24,0.5,0,0.44,0.18,B
0.39,0.3,0.56,0.12,0.5,0,0.53,0.38,B
0.47,0.49,0.63,0.17,0.5,0,0.31,0.26,B
0.58,0.48,0.51,0.47,0.5,0,0.55,0.22,B
0.47,0.47,0.54,0.19,0.5,0,0.51,0.33,B
0.17,0.38,0.45,0.09,0.5,0,0.54,0.27,B
0.57,0.55,0.52,0.16,0.5,0,0.49,0.39,B
0.39,0.39,0.55,0.52,0.5,0,0.37,0.16,B
0.36,0.24,0.49,0.16,0.5,0,0.51,0.22,B
0.44,0.43,0.46,0.28,0.5,0,0.45,0.29,B
0.44,0.52,0.41,0.23,0.5,0,0.51,0.22,B
0.47,0.43,0.61,0.4,0.5,0,0.48,0.47,B
0.6,0.48,0.44,0.52,0.5,0,0.54,0.63,B
0.35,0.29,0.46,0.14,0.5,0,0.54,0.66,B
0.52,0.45,0.45,0.13,0.5,0,0.48,0.22,B
0.53,0.51,0.55,0.05,0.5,0,0.45,0.25,B
0.56,0.61,0.52,0.19,0.5,0,0.52,0.32,B
0.29,0.4,0.41,0.48,0.5,0,0.53,0.3,B
0.49,0.6,0.54,0.35,0.5,0,0.53,0.46,B
0.28,0.51,0.55,0.11,0.5,0,0.46,0.22,B
0.42,0.21,0.59,0.3,0.5,0,0.47,0.27,B
0.27,0.31,0.55,0.13,0.5,0,0.5,0.22,B
0.19,0.66,0.6,0.14,0.5,0,0.2,0.25,B
0.58,0.48,0.56,0.1,0.5,0,0.46,0.25,B
0.47,0.56,0.51,0.2,0.5,0,0.52,0.59,B
0.73,0.52,0.59,0.25,0.5,0,0.51,0.22,B
0.6,0.57,0.63,0.22,0.5,0,0.5,0.49,B
0.49,0.49,0.52,0.18,0.5,0,0.51,0.25,B
0.53,0.61,0.52,0.21,0.5,0,0.55,0.3,B
0.57,0.51,0.53,0.18,0.5,0,0.56,0.25,B
0.3,0.32,0.57,0.19,0.5,0,0.48,0.55,B
0.37,0.48,0.67,0.37,0.5,0,0.56,0.62,B
0.25,0.39,0.5,0.23,0.5,0,0.5,0.28,B
0.33,0.48,0.55,0.16,0.5,0,0.53,0.75,B
0.34,0.24,0.51,0.15,0.5,0,0.54,0.4,B
0.53,0.4,0.57,0.12,0.5,0,0.53,0.32,B
0.49,0.67,0.5,0.28,0.5,0,0.43,0.22,B
0.44,0.34,0.61,0.13,0.5,0,0.49,0.26,B
0.54,0.57,0.55,0.18,0.5,0,0.5,0.22,B
0.56,0.59,0.54,0.18,0.5,0,0.48,0.46,B
0.43,0.32,0.56,0.27,0.5,0,0.47,0.27,B
0.48,0.17,0.37,0.33,0.5,0,0.44,0.36,B
0.58,0.44,0.57,0.13,0.5,0,0.54,0.22,B
0.45,0.57,0.52,0.21,0.5,0,0.54,0.38,B
0.54,0.67,0.56,0.15,0.5,0,0.57,0.33,B
0.49,0.36,0.47,0.28,0.5,0,0.56,0.54,B
0.55,0.49,0.45,0.18,0.5,0,0.49,0.22,B
0.23,0.13,0.51,0.16,0.5,0,0.53,0.51,B
0.57,0.37,0.43,0.27,0.5,0,0.53,0.28,B
0.58,0.31,0.6,0.12,0.5,0,0.47,0.33,B
0.62,0.41,0.52,0.17,0.5,0,0.48,0.22,B
0.46,0.56,0.56,0.25,0.5,0,0.43,0.22,B
0.53,0.38,0.66,0.25,0.5,0,0.43,0.22,B
0.32,0.3,0.57,0.38,0.5,0,0.5,0.25,B
0.5,0.5,0.48,0.34,0.5,0,0.52,0.27,B
0.44,0.39,0.63,0.11,0.5,0,0.49,0.26,B
0.47,0.46,0.53,0.12,0.5,0,0.51,0.25,B
0.37,0.45,0.53,0.14,0.5,0,0.49,0.22,B
0.4,0.49,0.53,0.23,0.5,0,0.44,0.26,B
0.56,0.51,0.32,0.49,0.5,0,0.48,0.22,B
0.33,0.39,0.52,0.09,0.5,0,0.47,0.28,B
0.5,0.43,0.5,0.17,0.5,0,0.46,0.47,B
0.6,0.56,0.47,0.2,0.5,0,0.5,0.38,B
0.47,0.45,0.51,0.33,0.5,0,0.46,0.26,B
0.44,0.59,0.54,0.18,0.5,0,0.49,0.22,B
0.31,0.44,0.53,0.23,0.5,0,0.51,0.32,B
0.24,0.41,0.47,0.16,0.5,0,0.51,0.38,B
0.34,0.47,0.48,0.32,0.5,0,0.42,0.22,B
0.42,0.28,0.57,0.18,0.5,0,0.42,0.22,B
0.33,0.47,0.55,0.24,0.5,0,0.45,0.67,B
0.58,0.44,0.45,0.32,0.5,0,0.52,0.37,B
0.46,0.43,0.49,0.79,0.5,0,0.49,0.63,B
0.51,0.5,0.54,0.11,0.5,0,0.6,0.22,B
0.36,0.44,0.51,0.17,0.5,0,0.6,0.19,B
0.38,0.51,0.56,0.21,0.5,0,0.48,0.31,B
0.47,0.47,0.5,0.15,0.5,0,0.5,0.48,B
0.51,0.6,0.51,0.26,0.5,0,0.54,0.22,B
0.34,0.34,0.61,0.18,0.5,0,0.52,0.32,B
0.51,0.61,0.5,0.23,0.5,0,0.52,0.61,B
0.44,0.62,0.53,0.27,0.5,0,0.49,0.22,B
0.58,0.51,0.56,0.16,0.5,0,0.34,0.22,B
0.43,0.42,0.54,0.22,0.5,0,0.57,0.33,B
0.33,0.44,0.49,0.08,0.5,0,0.48,0.49,B
0.5,0.45,0.49,0.3,0.5,0,0.47,0.4,B
0.49,0.46,0.42,0.46,0.5,0,0.55,0.22,B
0.54,0.6,0.57,0.17,0.5,0,0.44,0.22,B
0.67,0.46,0.58,0.3,0.5,0,0.57,0.27,B
0.32,0.48,0.49,0.17,0.5,0,0.47,0.22,B
0.35,0.39,0.57,0.11,0.5,0,0.48,0.22,B
0.61,0.57,0.45,0.21,0.5,0,0.5,0.42,B
0.33,0.37,0.54,0.28,0.5,0,0.53,0.27,B
0.27,0.51,0.47,0.35,0.5,0,0.49,0.28,B
0.46,0.41,0.43,0.18,0.5,0,0.54,0.22,E
0.47,0.59,0.43,0.13,0.5,0,0.56,0.3,E
0.43,0.41,0.37,0.18,0.5,0,0.54,0.31,E
0.39,0.33,0.33,0.23,0.5,0,0.47,0.22,E
0.46,0.48,0.38,0.22,0.5,0,0.39,0.45,E
0.26,0.5,0.33,0.28,0.5,0,0.51,0.22,E
